UniProt	GeneSymbol	GATA4_expanded	TBX5_expanded	NKX25_expanded
O14776	TCERG1	1	1	0
Q9UBB9	TFIP11	1	1	0
Q96FV9	THOC1	1	1	0
Q8NI27	THOC2	1	1	0
Q96J01	THOC3	1	1	0
Q86V81	ALYREF	1	1	0
Q13769	THOC5	1	1	0
Q86W42	THOC6	1	1	0
Q6I9Y2	THOC7	1	1	0
P62995	TRA2B	1	1	0
P83876	NA	1	1	0
Q01081	U2AF1	1	1	0
P26368	U2AF2	1	1	0
Q53GS9	USP39	1	1	0
Q9Y2W2	WBP11	1	1	0
Q15007	WTAP	1	1	0
Q9HCS7	XAB2	1	1	0
Q9BV90	SNRNP25	1	1	0
Q6IEG0	SNRNP48	1	1	0
Q8N8D1	PDCD7	1	1	0
Q96LT9	RNPC3	1	1	0
Q9BWJ5	SF3B5	1	1	0
Q16560	SNRNP35	1	1	0
P67809	YBX1	1	1	0
Q8TBF4	ZCRB1	1	1	0
Q9UDW3	ZMAT5	1	1	0
O96019	ACTL6A	1	1	0
Q9H0E9	BRD8	1	1	0
Q9HAF1	MEAF6	1	1	0
Q9NPF5	DMAP1	1	1	0
Q96L91	EP400	1	1	0
Q9H2F5	EPC1	1	1	0
Q92993	KAT5	1	1	0
Q9NXR8	ING3	1	1	0
Q9UBU8	MORF4L1	1	1	0
Q15014	MORF4L2	1	1	0
Q9NV56	MRGBP	1	1	0
Q9Y265	RUVBL1	1	1	0
Q9Y230	RUVBL2	1	1	0
Q9Y4A5	TRRAP	1	1	0
Q15906	VPS72	1	1	0
P10827	THRA	1	1	0
O75964	ATP5MG	1	1	0
Q7Z3B3	KANSL1	1	1	0
Q9UKL0	RCOR1	1	1	0
Q86YP4	GATAD2A	1	1	0
P60709	ACTB	1	1	0
O43707	ACTN4	1	1	0
P08238	HSP90AB1	1	1	0
P05107	ITGB2	1	1	0
Q16787	LAMA3	1	1	0
Q13368	MPP3	1	1	0
Q64663	-	1	1	0
P42356	PI4KA	1	1	0
P23467	PTPRB	1	1	0
Q52LR7	EPC2	1	1	0
Q9Y5B0	CTDP1	1	1	0
P84090	ERH	1	1	0
