Interactor1	Interactor2	Complex.name	Complex.id	geneName1	geneName2	GATA4	TBX5	NKX25
Q96LT9	Q13435	18S U11/U12 snRNP	430	RNPC3	SF3B2	1	0	1
Q96LT9	Q15393	18S U11/U12 snRNP	430	RNPC3	SF3B3	1	0	1
Q96LT9	Q15427	18S U11/U12 snRNP	430	RNPC3	SF3B4	1	0	1
Q96LT9	Q9BWJ5	18S U11/U12 snRNP	430	RNPC3	SF3B5	1	0	1
Q96LT9	P14678	18S U11/U12 snRNP	430	RNPC3	SNRPB	1	0	1
Q96LT9	P62314	18S U11/U12 snRNP	430	RNPC3	SNRPD1	1	0	1
Q96LT9	P62316	18S U11/U12 snRNP	430	RNPC3	SNRPD2	1	0	1
Q96LT9	P62318	18S U11/U12 snRNP	430	RNPC3	SNRPD3	1	0	1
Q96LT9	P62304	18S U11/U12 snRNP	430	RNPC3	SNRPE	1	0	1
Q96LT9	P62306	18S U11/U12 snRNP	430	RNPC3	SNRPF	1	0	1
Q96LT9	P62308	18S U11/U12 snRNP	430	RNPC3	SNRPG	1	0	1
Q96LT9	Q16560	18S U11/U12 snRNP	430	RNPC3	SNRNP35	1	0	1
Q96LT9	P67809	18S U11/U12 snRNP	430	RNPC3	YBX1	1	0	1
Q96LT9	Q8TBF4	18S U11/U12 snRNP	430	RNPC3	ZCRB1	1	0	1
Q96LT9	Q9UDW3	18S U11/U12 snRNP	430	RNPC3	ZMAT5	1	0	1
Q96LT9	Q15696	18S U11/U12 snRNP	430	RNPC3	ZRSR2	1	0	1
O75533	Q9Y3B4	18S U11/U12 snRNP	430	SF3B1	SF3B6	1	0	1
O75533	Q13435	18S U11/U12 snRNP	430	SF3B1	SF3B2	1	0	1
O75533	Q15393	18S U11/U12 snRNP	430	SF3B1	SF3B3	1	0	1
O75533	Q15427	18S U11/U12 snRNP	430	SF3B1	SF3B4	1	0	1
O75533	Q9BWJ5	18S U11/U12 snRNP	430	SF3B1	SF3B5	1	0	1
O75533	P14678	18S U11/U12 snRNP	430	SF3B1	SNRPB	1	0	1
O75533	P62314	18S U11/U12 snRNP	430	SF3B1	SNRPD1	1	0	1
O75533	P62316	18S U11/U12 snRNP	430	SF3B1	SNRPD2	1	0	1
O75533	P62318	18S U11/U12 snRNP	430	SF3B1	SNRPD3	1	0	1
O75533	P62304	18S U11/U12 snRNP	430	SF3B1	SNRPE	1	0	1
O75533	P62306	18S U11/U12 snRNP	430	SF3B1	SNRPF	1	0	1
O75533	P62308	18S U11/U12 snRNP	430	SF3B1	SNRPG	1	0	1
O75533	Q16560	18S U11/U12 snRNP	430	SF3B1	SNRNP35	1	0	1
O75533	P67809	18S U11/U12 snRNP	430	SF3B1	YBX1	1	0	1
O75533	Q8TBF4	18S U11/U12 snRNP	430	SF3B1	ZCRB1	1	0	1
O75533	Q9UDW3	18S U11/U12 snRNP	430	SF3B1	ZMAT5	1	0	1
O75533	Q15696	18S U11/U12 snRNP	430	SF3B1	ZRSR2	1	0	1
Q9Y3B4	Q13435	18S U11/U12 snRNP	430	SF3B6	SF3B2	1	0	1
Q9Y3B4	Q15393	18S U11/U12 snRNP	430	SF3B6	SF3B3	1	0	1
Q9Y3B4	Q15427	18S U11/U12 snRNP	430	SF3B6	SF3B4	1	0	1
Q9Y3B4	Q9BWJ5	18S U11/U12 snRNP	430	SF3B6	SF3B5	1	0	1
Q9Y3B4	P14678	18S U11/U12 snRNP	430	SF3B6	SNRPB	1	0	1
Q9Y3B4	P62314	18S U11/U12 snRNP	430	SF3B6	SNRPD1	1	0	1
Q9Y3B4	P62316	18S U11/U12 snRNP	430	SF3B6	SNRPD2	1	0	1
Q9Y3B4	P62318	18S U11/U12 snRNP	430	SF3B6	SNRPD3	1	0	1
Q9Y3B4	P62304	18S U11/U12 snRNP	430	SF3B6	SNRPE	1	0	1
Q9Y3B4	P62306	18S U11/U12 snRNP	430	SF3B6	SNRPF	1	0	1
Q9Y3B4	P62308	18S U11/U12 snRNP	430	SF3B6	SNRPG	1	0	1
Q9Y3B4	Q16560	18S U11/U12 snRNP	430	SF3B6	SNRNP35	1	0	1
Q9Y3B4	P67809	18S U11/U12 snRNP	430	SF3B6	YBX1	1	0	1
Q9Y3B4	Q8TBF4	18S U11/U12 snRNP	430	SF3B6	ZCRB1	1	0	1
Q9Y3B4	Q9UDW3	18S U11/U12 snRNP	430	SF3B6	ZMAT5	1	0	1
Q9Y3B4	Q15696	18S U11/U12 snRNP	430	SF3B6	ZRSR2	1	0	1
