Interactor1	Interactor2	geneName1	geneName2	Complex.name	Complex.id
P14678	P62318	SNRPB	SNRPD3	18S U11/U12 snRNP	430
P14678	P62304	SNRPB	SNRPE	18S U11/U12 snRNP	430
P14678	P62306	SNRPB	SNRPF	18S U11/U12 snRNP	430
P14678	P62308	SNRPB	SNRPG	18S U11/U12 snRNP	430
P14678	Q16560	SNRPB	SNRNP35	18S U11/U12 snRNP	430
P14678	P67809	SNRPB	YBX1	18S U11/U12 snRNP	430
P14678	Q8TBF4	SNRPB	ZCRB1	18S U11/U12 snRNP	430
P14678	Q9UDW3	SNRPB	ZMAT5	18S U11/U12 snRNP	430
P14678	Q15696	SNRPB	ZRSR2	18S U11/U12 snRNP	430
P62314	P62316	SNRPD1	SNRPD2	18S U11/U12 snRNP	430
P62314	P62318	SNRPD1	SNRPD3	18S U11/U12 snRNP	430
P62314	P62304	SNRPD1	SNRPE	18S U11/U12 snRNP	430
P62314	P62306	SNRPD1	SNRPF	18S U11/U12 snRNP	430
P62314	P62308	SNRPD1	SNRPG	18S U11/U12 snRNP	430
P62314	Q16560	SNRPD1	SNRNP35	18S U11/U12 snRNP	430
P62314	P67809	SNRPD1	YBX1	18S U11/U12 snRNP	430
P62314	Q8TBF4	SNRPD1	ZCRB1	18S U11/U12 snRNP	430
P62314	Q9UDW3	SNRPD1	ZMAT5	18S U11/U12 snRNP	430
P62314	Q15696	SNRPD1	ZRSR2	18S U11/U12 snRNP	430
P62316	P62318	SNRPD2	SNRPD3	18S U11/U12 snRNP	430
P62316	P62304	SNRPD2	SNRPE	18S U11/U12 snRNP	430
P62316	P62306	SNRPD2	SNRPF	18S U11/U12 snRNP	430
P62316	P62308	SNRPD2	SNRPG	18S U11/U12 snRNP	430
P62316	Q16560	SNRPD2	SNRNP35	18S U11/U12 snRNP	430
P62316	P67809	SNRPD2	YBX1	18S U11/U12 snRNP	430
P62316	Q8TBF4	SNRPD2	ZCRB1	18S U11/U12 snRNP	430
P62316	Q9UDW3	SNRPD2	ZMAT5	18S U11/U12 snRNP	430
P62316	Q15696	SNRPD2	ZRSR2	18S U11/U12 snRNP	430
P62318	P62304	SNRPD3	SNRPE	18S U11/U12 snRNP	430
P62318	P62306	SNRPD3	SNRPF	18S U11/U12 snRNP	430
P62318	P62308	SNRPD3	SNRPG	18S U11/U12 snRNP	430
P62318	Q16560	SNRPD3	SNRNP35	18S U11/U12 snRNP	430
P62318	P67809	SNRPD3	YBX1	18S U11/U12 snRNP	430
P62318	Q8TBF4	SNRPD3	ZCRB1	18S U11/U12 snRNP	430
P62318	Q9UDW3	SNRPD3	ZMAT5	18S U11/U12 snRNP	430
P62318	Q15696	SNRPD3	ZRSR2	18S U11/U12 snRNP	430
P62304	P62306	SNRPE	SNRPF	18S U11/U12 snRNP	430
P62304	P62308	SNRPE	SNRPG	18S U11/U12 snRNP	430
P62304	Q16560	SNRPE	SNRNP35	18S U11/U12 snRNP	430
P62304	P67809	SNRPE	YBX1	18S U11/U12 snRNP	430
P62304	Q8TBF4	SNRPE	ZCRB1	18S U11/U12 snRNP	430
P62304	Q9UDW3	SNRPE	ZMAT5	18S U11/U12 snRNP	430
P62304	Q15696	SNRPE	ZRSR2	18S U11/U12 snRNP	430
P62306	P62308	SNRPF	SNRPG	18S U11/U12 snRNP	430
P62306	Q16560	SNRPF	SNRNP35	18S U11/U12 snRNP	430
P62306	P67809	SNRPF	YBX1	18S U11/U12 snRNP	430
P62306	Q8TBF4	SNRPF	ZCRB1	18S U11/U12 snRNP	430
P62306	Q9UDW3	SNRPF	ZMAT5	18S U11/U12 snRNP	430
P62306	Q15696	SNRPF	ZRSR2	18S U11/U12 snRNP	430
P62308	Q16560	SNRPG	SNRNP35	18S U11/U12 snRNP	430
P62308	P67809	SNRPG	YBX1	18S U11/U12 snRNP	430
P62308	Q8TBF4	SNRPG	ZCRB1	18S U11/U12 snRNP	430
P62308	Q9UDW3	SNRPG	ZMAT5	18S U11/U12 snRNP	430
P62308	Q15696	SNRPG	ZRSR2	18S U11/U12 snRNP	430
Q16560	P67809	SNRNP35	YBX1	18S U11/U12 snRNP	430
Q16560	Q8TBF4	SNRNP35	ZCRB1	18S U11/U12 snRNP	430
Q16560	Q9UDW3	SNRNP35	ZMAT5	18S U11/U12 snRNP	430
Q16560	Q15696	SNRNP35	ZRSR2	18S U11/U12 snRNP	430
P67809	Q8TBF4	YBX1	ZCRB1	18S U11/U12 snRNP	430
P67809	Q9UDW3	YBX1	ZMAT5	18S U11/U12 snRNP	430
P67809	Q15696	YBX1	ZRSR2	18S U11/U12 snRNP	430
Q8TBF4	Q9UDW3	ZCRB1	ZMAT5	18S U11/U12 snRNP	430
Q8TBF4	Q15696	ZCRB1	ZRSR2	18S U11/U12 snRNP	430
Q9UDW3	Q15696	ZMAT5	ZRSR2	18S U11/U12 snRNP	430
P25705	P06576	ATP5F1A	ATP5F1B	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P25705	P36542	ATP5F1A	ATP5F1C	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P25705	P30049	ATP5F1A	ATP5F1D	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P25705	P56381	ATP5F1A	ATP5F1E	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P25705	P24539	ATP5F1A	ATP5PB	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P25705	P05496	ATP5F1A	ATP5MC1	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P25705	O75947	ATP5F1A	ATP5PD	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P25705	P56385	ATP5F1A	ATP5ME	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P25705	P18859	ATP5F1A	ATP5PF	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P25705	P56134	ATP5F1A	ATP5MF	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P25705	O75964	ATP5F1A	ATP5MG	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P25705	P48047	ATP5F1A	ATP5PO	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P25705	Q6IAQ7	ATP5F1A	ATP5IF1	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P25705	P00846	ATP5F1A	MT-ATP6	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P25705	P03928	ATP5F1A	MT-ATP8	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P06576	P36542	ATP5F1B	ATP5F1C	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P06576	P30049	ATP5F1B	ATP5F1D	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P06576	P56381	ATP5F1B	ATP5F1E	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
