Gene,BH
ANKRD10,0.00462940824865511
ANKRD13A,0.432933819697759
ANKRD16,1
ANKRD22,1
ANKRD23,0.384315646258503
ANKRD24,1
ANKRD26,0.664344735673034
ANKRD27,0.0787488151658768
ANKRD31,1
ANKRD33,1
ANKRD34A,0.156224144415194
ANKRD34B,1
ANKRD35,1
ANKRD37,1
ANKRD39,0.762997286579002
ANKRD50,0.106603934987169
ANKRD53,0.479628514056225
ANKRD55,0.177965012495537
ANKRD6,0.725357751277683
ANKRD60,1
ANKRD65,1
ANKRD7,1
ANKS3,0.132821742605915
ANKS6,0.21978835978836
ANKUB1,1
ANKZF1,1
ANO10,1
ANO3,0.316078431372549
ANO4,1
ANO5,1
ANO6,1
ANO7,1
ANO9,0.00462940824865511
ANP32A,0.0787488151658768
ANPEP,0.613136531365314
ANTXR1,0.0441679957469431
ANTXR2,0.00462940824865511
ANXA10,1
ANXA11,0.613136531365314
ANXA3,0.00462940824865511
ANXA4,0.177965012495537
ANXA5,0.333942004019523
ANXA6,0.00462940824865511
ANXA9,1
AOAH,0.651534842034506
AOC1,1
AOC2,1
AOX1,0.0441679957469431
AP1G2,0.21978835978836
AP1S3,1
AP3B2,1
AP3M1,0.333942004019523
AP3S2,1
AP3S2,C15orf38-AP3S2
1,
AP4B1,0.00462940824865511
AP4E1,0.903757911392405
AP5B1,0.316078431372549
AP5Z1,0.298580413297394
APAF1,0.00462940824865511
APBA1,1
APBB2,0.432933819697759
APC,0.00462940824865511
APCDD1,0.00462940824865511
APCDD1L,1
APCS,0.00462940824865511
APEH,0.448734567901235
APEX1,0.00462940824865511
APH1B,1
APIP,0.00462940824865511
APLF,0.00462940824865511
APMAP,0.690063387978142
APOA1BP,1
APOA2,0.00462940824865511
APOB,0.00462940824865511
APOBEC2,0.298580413297394
APOBEC4,1
APOBR,1
APOC1,0.333942004019523
APOC4,1
APOD,0.333942004019523
APOE,0.156224144415194
APOF,0.511324470704087
APOH,0.712674244048896
APOL3,0.00462940824865511
APOL6,1
APOO,1
APOPT1,0.00462940824865511
APPL1,0.511324470704087
APPL2,0.00462940824865511
APRT,0.240656581911812
AQP5,0.690063387978142
AQP9,1
ARAP1,0.156224144415194
ARAP2,0.00462940824865511
ARAP3,0.106603934987169
ARFGAP3,0.448734567901235
ARFGEF1,0.351339159853397
ARFGEF2,0.132821742605915
ARFGEF3,0.132821742605915
ARFRP1,0.00462940824865511
ARG1,0.862824046335131
ARGFX,1
ARHGAP10,0.00462940824865511
ARHGAP11A,0.00462940824865511
ARHGAP15,0.0441679957469431
ARHGAP19,0.00462940824865511
ARHGAP24,0.00462940824865511
ARHGAP28,1
ARHGAP29,0.0787488151658768
ARHGAP31,0.00462940824865511
ARHGAP32,0.00462940824865511
ARHGAP39,0.00462940824865511
ARHGAP40,1
ARHGAP8,PRR5-ARHGAP8
1,
ARHGAP8,0.00462940824865511
ARHGAP9,0.333942004019523
ARHGEF10,1
ARHGEF11,0.0787488151658768
ARHGEF12,0.00462940824865511
ARHGEF15,0.0441679957469431
ARHGEF16,0.298580413297394
ARHGEF18,0.00462940824865511
ARHGEF19,0.786839612929792
ARHGEF28,0.00462940824865511
ARHGEF37,1
ARHGEF38,1
ARHGEF39,0.56917552563194
ARHGEF40,0.598114259173247
ARHGEF6,0.00462940824865511
ARID3C,1
ARIH2OS,1
ARL10,1
ARL14,0.701476510067114
ARL2,0.00462940824865511
ARL2BP,0.00462940824865511
ARL5B,0.177965012495537
ARL5C,1
ARL6,0.00462940824865511
ARL6IP1,0.00462940824865511
ARL6IP4,0.81202199144777
ARL6IP5,0.525566909975669
ARMC12,1
ARMC2,1
ARMC3,1
ARMC4,1
ARMC6,0.156224144415194
ARMC9,1
ARMT1,0.298580413297394
ARPC4-TTLL3,TTLL3
1,
ARPIN,C15orf38-AP3S2
1,
ARPP21,1
ARRDC2,1
ARRDC5,1
ARSA,0.316078431372549
ARSB,0.598114259173247
ARSD,0.416605964634468
ARSJ,1
ARSK,0.400064205457464
ART3,1
ART5,1
ARV1,0.177965012495537
AS3MT,1
ASAP1,0.0441679957469431
ASAP3,0.00462940824865511
ASB1,1
ASB10,1
ASB12,0.199917497421794
ASB13,0.384315646258503
ASB3,GPR75-ASB3
1,
ASB4,0.367001656543346
ASB5,0.260194174757282
ASB6,1
ASB8,1
ASCC1,0.651534842034506
ASCC2,0.0441679957469431
ASCC3,0.00462940824865511
ASGR1,0.156224144415194
ASIC1,1
ASIC3,0.00462940824865511
ASIC5,1
ASIP,1
ASL,0.00462940824865511
ASNSD1,1
ASPG,1
ASPH,0.00462940824865511
ASPHD1,1
ASPM,0.27938856618771
ASPN,1
ASPSCR1,0.00462940824865511
ASS1,0.0441679957469431
ASTE1,1
ASTL,0.106603934987169
ASTN2,1
ASUN,1
ASXL2,0.00462940824865511
ASZ1,1
ATAD2B,0.701476510067114
ATAD5,0.00462940824865511
ATF5,1
ATF6,0.639655797101449
ATG14,0.00462940824865511
ATG16L1,0.0441679957469431
ATG16L2,1
ATG2A,0.177965012495537
ATG2B,0.701476510067114
ATG3,0.613136531365314
ATG4B,0.240656581911812
ATG4C,1
ATG7,0.0441679957469431
ATHL1,1
ATL2,0.0787488151658768
ATL3,1
ATM,0.00462940824865511
ATP10A,0.156224144415194
ATP10B,0.0787488151658768
ATP10D,0.132821742605915
ATP11B,1
ATP12A,0.0787488151658768
ATP13A1,0.106603934987169
ATP13A2,0.00462940824865511
ATP13A3,0.298580413297394
ATP13A4,1
ATP13A5,1
ATP1A2,0.916022839141563
ATP1A3,1
ATP1A4,0.598114259173247
ATP2A1,0.00462940824865511
ATP2A2,0.0441679957469431
ATP2B1,0.701476510067114
ASTE1,ATP2C1
1,
ATP2C2,1
ATP4B,0.00462940824865511
ATP5B,0.00462940824865511
ATP5C1,0.432933819697759
ATP5F1,0.00462940824865511
ATP5G2,0.81202199144777
ATP5H,0.584521575984991
ATP5J2-PTCD1,PTCD1
1,
ATP5L2,1
ATP5O,0.00462940824865511
ATP6AP1L,1
ATP6V0A2,0.762997286579002
ATP6V0A4,0.584521575984991
ATP6V0D2,0.132821742605915
ATP6V0E2,1
ATP7B,1
ATP8A1,0.00462940824865511
ATP8A2,0.00462940824865511
ATP8B3,1
ATP8B4,1
ATP9B,1
ATPIF1,0.448734567901235
ATR,0.00462940824865511
ATRAID,0.00462940824865511
ATRIP,0.00462940824865511
ATRN,1
ATRNL1,1
ATXN10,0.240656581911812
ATXN3,0.00462940824865511
ATXN7,0.00462940824865511
AURKB,0.0441679957469431
AURKC,0.416605964634468
AUTS2,0.177965012495537
AVIL,0.351339159853397
AVPR1A,0.298580413297394
AWAT1,1
AXDND1,1
AXIN2,0.0441679957469431
AXL,0.00462940824865511
AZIN2,0.00462940824865511
B3GALNT2,1
B3GALT5,0.56917552563194
B3GAT2,0.156224144415194
B3GLCT,0.21978835978836
B3GNT4,0.400064205457464
B3GNTL1,1
B4GALNT2,1
B4GALNT3,0.88890826233406
B4GALNT4,1
B4GALT3,0.677531408419661
B4GALT7,0.367001656543346
B9D2,0.00462940824865511
BACH1,0.639655797101449
BAD,1
BAG2,0.00462940824865511
BAG3,0.448734567901235
BAG5,0.199917497421794
BAIAP2,0.106603934987169
BAIAP3,1
BAMBI,0.998481495612362
BANK1,0.240656581911812
BAP1,0.199917497421794
BARD1,0.0441679957469431
BASP1,0.298580413297394
BAX,0.00462940824865511
BAZ1A,0.584521575984991
BBC3,1
BBOX1,0.0441679957469431
BBS1,0.00462940824865511
BBS12,0.00462940824865511
BBS2,0.00462940824865511
BBS4,0.00462940824865511
BBS5,0.00462940824865511
BBS9,0.00462940824865511
BBX,1
BCAM,0.00462940824865511
BCAN,0.00462940824865511
BCAP29,0.260194174757282
BCAP31,0.400064205457464
BCAR1,0.00462940824865511
BCAS1,1
BCAT2,1
BCHE,1
BCKDHA,1
BCKDHB,0.00462940824865511
BCKDK,0.00462940824865511
BCL11B,1
BCL2L13,0.750985915492958
BCL2L14,1
BCL6B,0.56917552563194
BCL7C,0.00462940824865511
BCL9,1
BCO2,1
BCS1L,1
BDKRB1,0.260194174757282
BDP1,0.106603934987169
BECN1,0.00462940824865511
BEND3,0.00462940824865511
BEND7,0.106603934987169
BEST1,0.677531408419661
BEST2,1
BEST3,1
BET1L,1
BFAR,0.21978835978836
BFSP2,0.132821742605915
BICD2,0.260194174757282
BID,1
BIK,1
BIN1,0.525566909975669
