"SUID","BH","name","selected","shared name","uidA","uidB"
"889","1.0","GRM2","false","GRM2","Q14416","Q14416"
"890","1.0","OPRM1","false","OPRM1","P35372","P35372"
"891","0.258745874587459","CPT1A","false","CPT1A","A0A024R5F4","A0A024R5F4"
"892","0.118787878787879","MRPS27","false","MRPS27","","Q92552"
"893","0.00450255102040816","ACBD3","false","ACBD3","","A0A024R3P9"
"894","0.979001019367992","GOLGA3","false","GOLGA3","Q08378","Q08378"
"895","0.00450255102040816","FOXK2","false","FOXK2","Q01167","Q01167"
"896","1.0","KDM5A","false","KDM5A","P29375",""
"897","0.00450255102040816","KAT2B","false","KAT2B","Q92831","Q92831"
"898","0.23573883161512","FBXO4","false","FBXO4","","Q9UKT5"
"899","0.23573883161512","RPL15","false","RPL15","","P61313"
"900","1.0","SCNN1D","false","SCNN1D","","A6NNF7"
"901","1.0","HLTF","false","HLTF","","Q14527"
"902","0.00450255102040816","UBE2B","false","UBE2B","P63146","P63146"
"903","0.387023977433004","PFDN2","false","PFDN2","B1AQP2","B1AQP2"
"904","0.729302325581395","UNC5B","false","UNC5B","","Q8IZJ1"
"905","0.303875968992248","NEO1","false","NEO1","Q92859",""
"906","0.325188536953243","ZNF41","false","ZNF41","P51814",""
"907","0.325188536953243","NOP2","false","NOP2","P46087",""
"908","1.0","DUSP23","false","DUSP23","A0A140VJI5","A0A140VJI5"
"909","0.472922252010724","TGIF1","false","TGIF1","Q15583","Q15583"
"910","0.209625668449198","CTBP2","false","CTBP2","P56545",""
"911","0.0854030501089325","ROCK2","false","ROCK2","","O75116"
"912","0.00450255102040816","ABR","false","ABR","Q12979","Q12979"
"913","0.182835820895522","FGFR4","false","FGFR4","P22455","P22455"
"914","0.0464454976303318","FGFR3","false","FGFR3","P22607","P22607"
"915","0.918423855165069","IL11","false","IL11","A8K3F7","A8K3F7"
"916","0.00450255102040816","TRPC5","false","TRPC5","","Q9UL62"
"917","0.00450255102040816","MX1","false","MX1","P20591","P20591"
"918","1.0","CRHR1","false","CRHR1","P34998","P34998"
"919","0.258745874587459","TSHR","false","TSHR","P16473","P16473"
"920","0.00450255102040816","ZNF234","false","ZNF234","A0A024R0N3",""
"921","0.746020761245675","FZD3","false","FZD3","Q9NPG1",""
