Bait	Prey	#Rep	#Pep	AvgP	BFDR
gata4	P26583	3	12	0.6628	0.1935
tbx5	P26583	3	12	0.2971	0.4368
gata4	P26599	3	3	0.5789	0.2144
tbx5	P26599	3	3	0.4544	0.2875
gata4	P26641	3	6	0.8667	0.0422
tbx5	P26641	3	6	0.4704	0.2817
tbx5	P27348	3	1	0.4240	0.3138
gata4	P27635	3	20	0.5365	0.2455
tbx5	P27635	3	20	0.6208	0.2049
tbx5	P27695	3	2	0.2783	0.4394
gata4	P27708	3	2	0.1666	0.4772
tbx5	P27708	3	2	0.3333	0.3333
gata4	P27816	3	121	0.1033	0.4986
tbx5	P27816	3	121	0.1676	0.4691
gata4	P27824	3	4	0.4841	0.2800
tbx5	P27824	3	4	0.4297	0.3113
tbx5	P28066	3	4	0.7778	0.0805
tbx5	P28070	3	4	0.5556	0.2208
tbx5	P28072	3	1	0.3333	0.3333
tbx5	P28074	3	9	0.9333	0.0094
tbx5	P28347	3	3	0.4444	0.2899
tbx5	P28370	3	9	0.9333	0.0094
tbx5	P29375	3	16	0.4093	0.3196
tbx5	P29590	3	1	0.3315	0.4293
gata4	P29692	3	4	0.5555	0.2308
tbx5	P29692	3	4	0.4443	0.3034
tbx5	P30048	3	3	0.6662	0.1880
gata4	P30049	3	2	0.3333	0.3333
tbx5	P30049	3	2	0.3333	0.3333
gata4	P30050	3	6	0.0980	0.4988
tbx5	P30050	3	6	0.8829	0.0365
gata4	P30260	3	9	0.4664	0.2837
tbx5	P30260	3	9	0.9333	0.0094
tbx5	P30414	3	2	0.3333	0.3333
gata4	P30876	3	4	0.3289	0.4305
tbx5	P30876	3	4	0.2222	0.4523
tbx5	P31260	3	1	0.3327	0.4268
tbx5	P31273	3	1	0.3333	0.3333
tbx5	P31276	3	2	0.6667	0.1340
tbx5	P31277	3	1	0.1956	0.4641
gata4	P31689	3	3	0.6666	0.1767
tbx5	P31689	3	3	0.7778	0.0805
